ZipCode,City,SizeRank,2015,2015Weight,2016,2016Weight,2017,2017Weight,2018,2018Weight,2019,2019Weight
27028,Mocksville,141,133949,1,139139,2,145750,3,154821,4,162615,5
28658,Newton,142,107253,1,112636,2,119431,3,130349,4,141671,5
28786,Waynesville,143,167431,1,169419,2,174294,3,188004,4,199596,5
28012,Belmont,144,175624,1,186105,2,202996,3,223566,4,240690,5
28202,Charlotte,145,260282,1,276086,2,290047,3,299724,4,307733,5
27565,Oxford,146,112338,1,117548,2,123507,3,132157,4,139694,5
28787,Weaverville,147,249319,1,261132,2,286304,3,304224,4,315293,5
28704,Arden,148,228411,1,240928,2,264078,3,280620,4,287096,5
28328,Clinton,149,94306,1,98818,2,104591,3,111667,4,117047,5
28804,Asheville,150,320998,1,335505,2,365707,3,390334,4,403210,5
